Views,Favorites,Comments,Score
126805,634,155,3
123297,393,19,5
106780,635,35,3
106480,327,12,4
100629,492,116,5
95903,71,59,5
68174,1646,84,5
62360,424,115,5
61227,48,17,4
47953,304,17,5
45213,64,15,5
38978,108,10,3
32672,127,17,4
32330,39,60,4
31816,65,29,4
28978,77,9,5
24147,59,7,5
22563,51,4,4
22294,73,6,3
21825,66,21,4
20455,60,9,1
20239,93,5,5
19505,143,41,3
18655,113,20,4
17399,11,4,4
14252,67,6,2
13500,22,38,4
12763,25,27,5
11151,61,2,3
10045,67,6,4
9659,136,4,4
9412,16,5,5
9274,98,5,5
8732,8,0,3
7918,99,14,5
7622,89,23,5
7471,20,9,4
7221,43,32,3
7013,123,69,4
6174,49,57,3
5602,82,9,5
5307,110,17,4
5063,91,45,1
4793,2,1,1
4468,38,3,2
3983,26,2,3
3872,19,2,2
3861,34,2,1
3794,331,85,5
3666,45,3,2
3527,23,3,1
3200,42,68,4
2755,89,4,2
2713,32,3,2
2689,1,2,3
2582,64,7,3
2582,65,82,2
2578,99,38,3
2553,0,0,1
2225,6,0,4
2221,2,3,1
2206,46,7,4
2039,0,0,2
1970,0,3,4
1810,79,5,4
1547,2,0,2
1417,0,0,3
1400,3,0,4
1297,0,0,5
1277,0,0,4
1246,0,0,1
1237,1,0,4
1216,1,0,1
1191,2,0,3
1186,9,16,1
1186,1,0,1
1131,15,0,2
1130,0,0,3
1128,0,0,2
1127,0,0,4
1126,0,0,1
1100,0,0,3
1087,68,24,4
1057,0,1,1
988,0,0,3
978,1,0,2
966,0,0,2
929,0,0,4
927,0,0,3
914,0,0,2
904,0,0,4
901,0,0,4
867,0,0,1
854,3,0,4
847,2,0,1
840,0,0,2
830,0,0,1
817,40,1,1
815,10,0,2
786,0,0,3
782,0,3,1
755,0,0,3
752,3,0,1
751,0,0,3
734,6,0,2
722,0,0,4
699,0,0,3
688,7,7,1
685,0,0,3
675,0,0,2
661,0,0,3
659,54,26,1
623,0,0,2
605,1,0,3
596,28,4,4
582,0,0,1
557,0,0,1
555,0,0,1
540,3,0,3
498,0,0,2
488,0,0,2
465,0,0,1
462,0,0,5
450,0,0,3
437,6,1,2
435,0,0,1
414,0,0,1
412,5,3,4
410,20,11,2
394,0,0,2
387,1,0,4
382,0,0,1
374,0,0,1
329,0,0,3
311,0,0,4
309,0,0,1
295,5,2,2
286,0,0,1
285,21,4,3
272,0,0,5
265,0,0,5
249,0,0,3
245,0,0,4
207,0,0,3
204,0,0,5
198,0,0,4
195,0,0,1
187,0,0,1
122,0,0,1
